Game Name,TA,GS,TAD,Num,Time,Score
skate. (2007),2993,1000,1993,44,20.0,4384.6
ilomilo,325,200,125,12,8.0,187.5
de Blob 2 (Xbox 360),2842,1000,1842,25,15.0,3070.0
Zumba Kids,1687,1000,687,20,12.0,1145.0
Zumba Fitness: Rush,3368,1000,2368,32,50.0,1515.52
Zumba Fitness Core,2625,1000,1625,34,15.0,3683.3333333333335
Zuma's Revenge!,735,400,335,20,15.0,446.6666666666667
Zuma,921,200,721,12,50.0,173.04
Zoo Tycoon (Xbox 360),3009,1000,2009,44,40.0,2209.9
Zone of the Enders HD Collection,3884,1000,2884,50,25.0,5768.0
Zombie Wranglers,353,200,153,12,6.0,306.0
Zombie Driver HD,885,400,485,30,15.0,970.0
Zombie Apocalypse: Never Die Alone,528,200,328,12,10.0,393.6
Zombie Apocalypse,264,200,64,12,8.0,96.0
Zeno Clash: Ultimate Edition,269,200,69,12,6.0,138.0
Zeno Clash II,656,400,256,19,8.0,608.0
Zeit²,322,200,122,12,4.0,366.0
Yu-Gi-Oh! Millennium Duels,394,200,194,12,50.0,46.56
Yu-Gi-Oh! 5D's Decade Duels Plus,422,200,222,12,12.0,222.0
Your Shape: Fitness Evolved 2012,4735,1000,3735,48,200.0,896.4
Your Shape: Fitness Evolved,2887,1000,1887,33,40.0,1556.775
Young Justice: Legacy,2615,1000,1615,48,20.0,3876.0
You Don't Know Jack,2190,1000,1190,40,15.0,3173.3333333333335
Yie Ar Kung-Fu,452,200,252,12,2.0,1512.0
Yar's Revenge,426,200,226,12,10.0,271.2
YAIBA: Ninja Gaiden Z,4088,1000,3088,49,25.0,6052.48
Xevious,395,200,195,12,5.0,468.0
XCOM: Enemy Within,1851,1000,851,30,30.0,851.0
XCOM: Enemy Unknown,4095,1000,3095,50,80.0,1934.375
X-Men: The Official Game,1753,1000,753,16,10.0,1204.8
X-Men: Destiny,1433,1000,433,50,12.0,1804.1666666666667
X-Men Origins: Wolverine,1440,1000,440,50,15.0,1466.6666666666667
X-Men Arcade,272,200,72,12,2.0,432.0
X-Blades,2133,1000,1133,37,6.0,6986.833333333333
Wrecked: Revenge Revisited,390,200,190,12,6.0,380.0
Wreckateer,1915,400,1515,30,12.0,3787.5
Worms: Ultimate Mayhem,830,200,630,12,8.0,945.0
Worms: Revolution,1557,400,1157,29,20.0,1677.65
Worms 2: Armageddon,538,200,338,12,20.0,202.8
Worms,294,200,94,12,8.0,141.0
World of Tanks: Valor (Xbox 360),8049,1750,6299,99,1751.0,356.1399200456882
World of Outlaws: Sprint Cars,2754,1000,1754,47,20.0,4121.9
World Series of Poker: Full House Pro,2185,500,1685,36,83.0,730.843373493976
World Gone Sour,302,200,102,12,6.0,204.0
Word Puzzle,353,200,153,12,4.0,459.0
Wolfenstein 3D (NA),324,200,124,12,6.0,248.0
Wolfenstein 3D,371,200,171,12,6.0,342.0
Wolf of the Battlefield: Commando 3,430,200,230,12,6.0,460.0
Wits & Wagers,451,200,251,12,100.0,30.12
Wipeout: Create & Crash,3466,1000,2466,50,12.0,10275.0
Wing Commander Arena,592,200,392,12,8.0,588.0
Wik: Fable of Souls,576,200,376,12,15.0,300.8
Who Wants to Be a Millionaire? Special Editions (EU),240,200,40,12,1.0,480.0
Who Wants to Be a Millionaire? Special Editions,464,400,64,12,1.0,768.0
Where the Wild Things Are,1195,1000,195,48,8.0,1170.0
Wheel of Fortune (2012),1682,1000,682,45,15.0,2046.0
Way of the Samurai 3,3970,1000,2970,50,60.0,2475.0
Way of the Dogg,711,400,311,12,3.0,1244.0
Watchmen: The End is Nigh Part 2,373,200,173,12,10.0,207.6
Watchmen: The End Is Nigh,448,200,248,12,10.0,297.6
Watch_Dogs (Xbox 360),2458,1000,1458,39,40.0,1421.55
Warriors: Legends of Troy,2443,1000,1443,50,60.0,1202.5
Warriors Orochi 2,1664,1000,664,27,80.0,224.1
Warriors Orochi,1357,1000,357,29,15.0,690.2
Warp,594,200,394,12,12.0,394.0
